iter	Passed	Remaining
0	1	130
1	2	119
2	3	113
3	4	106
4	5	105
5	6	104
6	7	103
7	8	103
8	10	102
9	11	101
10	12	100
11	13	100
12	14	98
13	15	97
14	17	97
15	18	96
16	19	95
17	20	94
18	21	93
19	23	92
20	24	90
21	25	89
22	26	88
23	27	87
24	28	86
25	30	85
26	31	84
27	32	83
28	33	82
29	34	80
30	35	79
31	37	79
32	38	77
33	39	76
34	40	75
35	41	74
36	42	72
37	44	71
38	45	71
39	46	69
40	47	68
41	48	66
42	49	65
43	50	64
44	51	63
45	52	61
46	53	60
47	55	59
48	56	58
49	57	57
50	58	56
51	59	55
52	60	53
53	61	52
54	62	51
55	63	50
56	64	48
57	65	47
58	67	46
59	68	45
60	69	44
61	70	43
62	71	42
63	72	40
64	73	39
65	75	38
66	76	37
67	77	36
68	78	35
69	79	34
70	80	32
71	81	31
72	82	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	94	18
84	96	16
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	112	0
